id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
96161,28435,Attack of the Killer Tomatoes,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103884,13355,Avenger,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175894,46822,Avengers,NULL,1986-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179480,218741,Avenida Paulista,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94558,52196,Awesome Earl in SkateRock,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95224,48589,Babel,"In the beginning, an archaeologist and explorer known as Indiana Borgnine is in search of the fabled Hanging Gardens of Babylon. After reading some lost scriptures, he determines that the only way to see them is to travel to the very top of the 64-story Tower of Babel. Upon reaching the Tower, he discovers that the only way to access the floors above him are to solve some challenging puzzles involving loose L-shaped blocks that he finds throughout the Tower. To his great surprise, the blocks are capable of balancing very well on top of one another, in order to form staircases.",1986-08-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49565,13368,Back to Reality,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116196,37076,Bactron,NULL,1986-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
178165,145180,Balloon Fight,"In the game, you control a character named Balloon Man, who is a member of the sky patrol. Prior to the start of the game, he battled and defeated the pirate boss Oiram Repus (interestingly spelled Super Mario backwards) and put him and his henchmen all in jail. The boss managed to escape and free all of his henchmen, who tore the map (to where Oiram is) up into small pieces and spread them across the land in balloons. The balloons all floated up to Trip-Sky, and now the sky patrol must find them all and gain the contents within so that they can recreate the map and find the boss to place him back in the Federal Prison.",1986-11-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30186,2316,Ballyhoo,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
43635,48588,Baltron,NULL,1986-04-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12152,40013,Baluba-louk no Densetsu,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16686,12933,Bandits at Zero,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125275,145247,Batalia,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3373,26457,Batman,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,68.6095,9
114639,26378,Battle Group,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25611,40028,Battle Lane Vol. 5,NULL,1986-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72962,13386,Battle of the Planets,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86065,28708,Battlefront,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4118,40292,Big Event Golf,NULL,1986-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9430,13399,Biggles,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86588,48543,Bird Week,NULL,1986-07-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174742,29134,Black Belt,"The player takes control of a martial artist named Riki, who sets out to rescue his girlfriend Kyoko from his rival, Wang. The game is composed of six left-to-right side-scrolling stages in which Riki faces different types of underlings (depending on the stage), facing the occasional sub-boss at midpoints of certain stages. Keeping true to the original source material Hokuto no Ken , underlings violently explode upon being punched or kicked. At the end of each stage, Riki must confront the stage's boss, each being susceptible to only one type of attack. The player must exploit their opponent's weakness and use it to finish the boss off.",1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
97612,37070,Blood 'n Guts,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
143950,159275,Blue Ribbon Darts,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114029,11973,BMX Simulator,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102330,46734,Bob Winner,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12011,13415,Bobby Bearing,NULL,1986-12-31 00:00:00.000,NULL,NULL,70.0000,1,NULL,NULL
126902,222600,Bodyslam,NULL,1986-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
115167,48540,Bokosuka Wars,NULL,1986-01-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121372,13421,Bomb Jack II,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69346,13422,Bomb Scare,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61422,41799,Bomber Man Special,"You bomb walls, pick up some power-ups, bomb some enemies, and bomb some more, to advance to the next level.",1986-10-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146493,45381,Bomber Man Special,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15995,47219,Bop'n Rumble,NULL,1986-08-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65564,13427,Boulder Dash III,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71510,13979,Bounces,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77076,15685,Bozo the Brave,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13233,11978,Brataccas,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27691,28707,Breakers,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81719,13437,BreakThru,"Accomplish your mission with your highly sophisticated assault vehicle to BREAK THRU each of the five enemy strongholds! Travel through the mountains, bridges and cities to reach the airfield. Impenetrable enemy forces impede your progress; tanks, helicopters, jeeps, landmines and more stand in your way. Press on, for all is lost if you fail to BREAK THRU!",1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
55649,41329,Breeder,NULL,1986-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59533,38619,Breywood,NULL,1986-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144854,2630,Bubble Bobble,NULL,1986-06-16 00:00:00.000,22,NULL,80.0000,0,76.0939,99
59893,13450,Bugsy,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105978,66987,Burgerkill,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73741,13456,By Fair Means or Foul,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38722,13994,Captain Kelly,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116767,60636,Captain Slog,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99538,28958,Captain Zapp,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78962,97461,Casablanca ni Ai o: Satsujinsha wa Jikū o Koete,"The year is 1945. Jerry Randolph, a female reporter working for the Chicago newspaper ""Daily Casablanca"", finds a diary belonging to her high school friend May Elgar, who has disappeared several years ago under mysterious circumstances. Jerry discovers that May's father was working on a groundbreaking scientific project. Too late to save Dr. Elgar from untimely death, Jerry uses a time machine constructed by him to travel to 1916, following the traces left by the criminals.",1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46082,41758,Castle Excellent,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
195403,1114,Castlevania,NULL,1986-09-26 00:00:00.000,65,NULL,NULL,NULL,78.4636,237
80481,13469,Cauldron II: The Pumpkin Strikes Back,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
165983,218807,Centipede,NULL,1986-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
35578,13474,Cerberus,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
183773,37077,Chameleon,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126736,6085,Champion Billiards,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75083,6089,Champion Kendo,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29910,13478,Championship Sprint,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38862,41439,Championship Tennis,NULL,1986-01-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124672,13827,Championship Wrestling,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13688,42165,Chicken Coop,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48540,11727,Chiller,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12642,48031,Chubby Cherub,"Chubby's friends are kidnapped by several burglars. Chubby has to save them, however many dogs are in the way - Chubby's one fear as a ghost.",1986-10-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
55167,12985,City Slicker,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
57565,46863,Clash-Road,NULL,1986-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60483,14005,Claws of Despair,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85975,40282,Clay Pigeon,NULL,1986-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
178096,125338,Climber,NULL,1986-07-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18127,47519,Coaster Race,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24671,12945,Cobra,"Crime is a disease. He's the cure.

The Cobra strikes!

As vigilante cop, Marion Cobretti of the 'Zombie Squad', you must rescue top fashion model Ingrid Knutsen from an army of psychotic killers and the evil clutches of 'The Night Slasher'.",1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
66727,39110,Cobra's Arc,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70470,94664,Colossus 4 Chess,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38159,47559,Come On Picot,NULL,1986-09-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
35971,45627,Comical Machine Gun Joe,NULL,1986-04-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69723,26153,Conflict in Vietnam,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58017,13512,Con-Quest,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44919,36674,Conquestador,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96605,36680,Contact Sam Cruise,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34409,13515,Cop-Out,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44254,13517,Core,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
192458,138939,Cosa Nostra,"The world-renowned superdetective Mike Bronco was hired by the mayor of Chicago to combat and eliminate the organized crime that plagued the city in the 1920s. 
 
But it's hard work in Mike's category as he has to face off against the Big Five and their respective minions, who have dominated and terrorized the entire city.",1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34446,13520,Cosmic Shock Absorber,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
67765,12947,Countdown to Meltdown,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
147841,48292,Crackout,NULL,1986-12-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
147891,67238,Create with Garfield!,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129580,41765,Cross Blaim,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7888,67591,Crosscountry Canada,NULL,1986-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98365,55188,Crystal Raider,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
143927,159270,Cuttlemania!,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70085,26395,Cyberun,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47526,14024,Cyrox,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13011,38639,Dai Ressya Goutou,NULL,1986-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144000,221042,Daikaijuu no Gyakushuu,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
64897,41782,Daisenryaku,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9694,12989,Dan Dare: Pilot of the Future,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125586,30214,Dan Dare: Pilot of the Future,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179461,28854,Dante's Inferno,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11236,12034,Dark Castle,NULL,1986-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
97265,72200,Dark Sider,NULL,1986-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
153632,40047,Darwin 4078,"The game takes place within a gigantic spaceship which has virtually infinite capacity because of its ability to manipulate time and space. The player must deal with enigmatic creatures called EVOL, which consist only of pure energy and need to keep themselves in capsules in order to maintain their existence in the world.

All of the characters in the game are designed to resemble microscopic organisms, both in their appearance and their quick, tricky movements. The player's ship undergoes over 10 types of transformations throughout the game, each with offensive and defensive maneuvers specific to their design. The sound effects used are minimal, but different types of sounds are used according to the type of shots or their speed. A sound resembling a long scream results when the player's ship is hit and returns to its weakest evolutionary state. The game's designer, graphic designer, and music composer, Tomo Furukawa, would go on to become the vocalist of the band Guniw Tools.",1986-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10264,13573,Deactivators,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65073,41278,Dead Zone,NULL,1986-11-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
148037,48067,Deadly Towers,NULL,1986-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33006,60631,Deathball,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59728,38033,Deceptor,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91921,41232,Deep Dungeon: Madou Senki,NULL,1986-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108736,14637,Deep Space,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47466,13583,Deep Strike,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60343,13586,Defcom,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175908,1873,Defender of the Crown,NULL,1986-01-01 00:00:00.000,3,NULL,NULL,NULL,70.5770,20
12487,41810,Demonia,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
132780,13588,Dempsey and Makepeace,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
37481,26235,Desert Fox,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126145,28486,Desert Hawk,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61663,26410,Destroyer,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105084,218863,Dig Dug,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3798,13598,Dodgy Geezers,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
89600,172019,Donkey Kong,Donkey Kong has kidnapped the beautiful Lady and taken her to a dangerous construction site. Mario must climb to the top of the construction site and rescue Lady from the giant ape.,1986-07-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
140242,171964,Donkey Kong,Donkey Kong has kidnapped the beautiful Lady and taken her to a dangerous construction site. Mario must climb to the top of the construction site and rescue Lady from the giant ape.,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
157693,172020,Donkey Kong,Donkey Kong has kidnapped the beautiful Lady and taken her to a dangerous construction site. Mario must climb to the top of the construction site and rescue Lady from the giant ape.,1986-11-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
157752,172018,Donkey Kong,Donkey Kong has kidnapped the beautiful Lady and taken her to a dangerous construction site. Mario must climb to the top of the construction site and rescue Lady from the giant ape.,1986-07-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129117,79111,Doraemon,NULL,1986-12-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
190535,4699,Double Dribble,NULL,1986-12-31 00:00:00.000,2,NULL,NULL,NULL,70.8001,13
115285,40956,Dough Boy,NULL,1986-01-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59761,31184,Dracula,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
195289,48678,Dragon Ball,"The game follows the first two volumes of the Dragon Ball manga, as the young monkey-tailed boy Goku (along with his teenage friend, Bulma), embark on a quest to find all seven Dragon Balls, in which it is believed that collecting them grants the user any wish they desire. Along the way, they encounter various characters, including turtle hermit Master Roshi, shapeshifting anthropomorphic pig Oolong and desert bandit Yamcha.",1986-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
50304,66405,Dragon Ball: Dragon Daihikyou,NULL,1986-09-27 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
